ID   MARCA     PREÇO    PROCESSADOR     RAM       ARMAZENAMENTO
1    SAMSUNG   699€   AMD_RYZEN_3     4GB       800GB               
2    TOSHIBA   649€   INTEL_CORE_I9   4GB       550GB               
3    LENOVO    1399€  AMD_RYZEN_3     4GB       1500GB              
4    MSI       299€   INTEL_CORE_I3   16GB      700GB               
5    SAMSUNG   499€   INTEL_CORE_I3   8GB       1000GB              
6    MSI       1499€  AMD_RYZEN_3     8GB       850GB               
7    LG        749€   INTEL_CORE_I7   4GB       750GB               
8    LENOVO    799€   PENTIUM_G5400   8GB       1500GB              
9    DELL      349€   INTEL_CORE_I5   4GB       600GB               
10   MICROSOFT 1199€  INTEL_CORE_I5   16GB      350GB               
11   MICROSOFT 349€   INTEL_CORE_I7   16GB      250GB               
12   HP        299€   INTEL_CORE_I7   8GB       700GB               
13   HP        349€   INTEL_CORE_I3   16GB      750GB               
14   MSI       899€   INTEL_CORE_I9   8GB       950GB               
15   INSYS     749€   INTEL_CORE_I9   4GB       350GB               
16   MSI       449€   INTEL_CORE_I7   4GB       500GB               
17   TOSHIBA   699€   PENTIUM_G5400   12GB      850GB               
18   TOSHIBA   449€   INTEL_CORE_I3   4GB       750GB               
19   DELL      649€   INTEL_CORE_I3   12GB      1000GB              
20   INSYS     1499€  INTEL_CORE_I9   12GB      250GB               
21   ACER      399€   INTEL_CORE_I3   8GB       400GB               
22   LG        849€   INTEL_CORE_I3   8GB       650GB               
23   ACER      1499€  AMD_RYZEN_5     16GB      2000GB              
24   LENOVO    1499€  AMD_RYZEN_3     4GB       700GB               
25   LENOVO    599€   INTEL_CORE_I7   8GB       750GB               
26   LENOVO    799€   AMD_RYZEN_7     8GB       250GB               
27   HP        949€   INTEL_CORE_I3   4GB       600GB               
28   HP        699€   INTEL_CORE_I9   4GB       600GB               
29   INSYS     849€   INTEL_CORE_I9   12GB      500GB               
30   LENOVO    499€   INTEL_CORE_I3   12GB      550GB               
31   DELL      599€   INTEL_CORE_I5   4GB       300GB               
32   ACER      849€   INTEL_CORE_I9   8GB       1000GB              
33   TOSHIBA   549€   AMD_RYZEN_5     8GB       800GB               
34   INSYS     949€   INTEL_CORE_I5   16GB      800GB               
35   DELL      349€   INTEL_CORE_I9   4GB       550GB               
36   ACER      899€   INTEL_CORE_I9   12GB      1500GB              
37   MICROSOFT 599€   INTEL_CORE_I7   4GB       350GB               
38   ACER      1099€  PENTIUM_G5400   16GB      650GB               
39   ACER      899€   PENTIUM_G5400   12GB      300GB               
40   LENOVO    299€   AMD_RYZEN_5     4GB       700GB               
41   MSI       349€   INTEL_CORE_I7   8GB       1500GB              
42   INSYS     1499€  INTEL_CORE_I3   16GB      300GB               
43   TOSHIBA   399€   PENTIUM_G5400   16GB      300GB               
44   SAMSUNG   1099€  INTEL_CORE_I7   8GB       450GB               
45   LENOVO    349€   AMD_RYZEN_3     8GB       1500GB              
46   LG        299€   INTEL_CORE_I5   4GB       500GB               
47   HP        1099€  INTEL_CORE_I7   16GB      950GB               
48   ACER      799€   INTEL_CORE_I9   12GB      500GB               
49   MICROSOFT 1499€  INTEL_CORE_I5   4GB       650GB               
50   MICROSOFT 999€   INTEL_CORE_I3   16GB      550GB               
51   ACER      949€   INTEL_CORE_I7   8GB       350GB               
52   ACER      949€   INTEL_CORE_I5   4GB       750GB               
53   INSYS     699€   AMD_RYZEN_3     8GB       850GB               
54   LENOVO    549€   AMD_RYZEN_5     8GB       700GB               
55   LG        599€   INTEL_CORE_I7   12GB      2000GB              
56   HP        949€   INTEL_CORE_I9   16GB      800GB               
57   INSYS     549€   AMD_RYZEN_5     8GB       2000GB              
58   SAMSUNG   849€   AMD_RYZEN_5     4GB       300GB               
59   DELL      349€   INTEL_CORE_I3   16GB      500GB               
60   MICROSOFT 1299€  AMD_RYZEN_7     8GB       950GB               
61   SAMSUNG   599€   INTEL_CORE_I7   16GB      900GB               
62   MSI       849€   PENTIUM_G5400   12GB      1500GB              
63   ASUS      349€   INTEL_CORE_I9   4GB       950GB               
64   SAMSUNG   1399€  AMD_RYZEN_3     12GB      700GB               
